142.250.188.14,239.077,4006,0
77.88.55.88,79.742,4002,0
127.0.0.1,0.054,4123,0
84.237.50.25,29.926,4005,0
84.237.50.155,12.715,4007,0
-1,-1,-1,-1
197.221.227.139,326.696,4532,0
154.85.93.72,60.056,4006,0
213.59.253.7,53.111,4006,0
23.49.109.82,95.828,4008,0
